episode_id,step,cart_velocity,pole_angular_velocity,pole_angle,cart_position,motor_command,reward,done
2,37,-0.36999902,0.0027207467,-0.11299603,0.088430665,-1.0,-0.13000014,0
2,38,-0.3966655,0.0031044648,-0.11978652,0.095041744,-1.0,-0.14622995,0
2,39,-0.42333204,0.0027430742,-0.12702431,0.10209729,-1.0,-0.16453499,0
2,40,-0.44999853,0.0015661365,-0.13477656,0.10959729,-1.0,-0.18530893,0
2,41,-0.47666505,-0.00050489244,-0.14311533,0.117541745,-1.0,-0.20905977,0
2,42,-0.50333154,-0.0035622262,-0.15211806,0.12593067,-1.0,-0.2364379,0
2,43,-0.52999806,-0.0077107446,-0.16186836,0.13476391,-1.0,-0.26827234,0
2,44,-0.5566645,-0.01306391,-0.17245585,0.14404163,-1.0,-0.30561274,0
2,45,-0.58333105,-0.019756498,-0.18397722,0.1537638,-1.0,-0.3497874,0
2,46,-0.58861864,-0.03447763,-0.1968832,0.1635741,-1.0,-0.40784073,0
2,47,-0.58861864,-0.05204781,-0.21134141,0.1733844,-1.0,-0.48294863,0
2,48,-0.58861864,-0.070923045,-0.22743501,0.1831947,-1.0,-0.57760286,0
2,49,-0.58861864,-0.09121637,-0.24525166,0.19300501,-1.0,-0.6954704,0
2,50,-0.58861864,-0.113028705,-0.26488182,0.20281531,-1.0,-0.8407968,0
2,51,-0.58861864,-0.13644093,-0.2864164,0.21262561,-1.0,-1.0184128,0
2,52,-0.58861864,-0.16150723,-0.30994362,0.2224359,-1.0,-1.2337089,0
2,53,-0.58861864,-0.18824211,-0.33554563,0.23224622,-1.0,-1.4925475,0
2,54,-0.58861864,-0.21660757,-0.36329404,0.24205652,-1.0,-1.8010998,0
2,55,-0.58861864,-0.24650249,-0.39324525,0.25186682,-1.0,-2.165607,0
2,56,-0.58861864,-0.27774477,-0.42543483,0.26167712,-1.0,-2.5920062,0
2,57,-0.58861864,-0.31006008,-0.45987216,0.2714874,-1.0,-3.0854728,0
2,58,-0.58861864,-0.34307072,-0.4965347,0.28129774,-1.0,-3.649858,0
2,59,-0.58861864,-0.3762917,-0.53536326,0.29110804,,-4.2870913,1
3,0,0.21537158,0.0,-0.0027777776,0.0,-0.026111109440000002,-7.6154356e-05,0
3,1,0.21537158,-0.11053667,0.06880421,0.0035894776,0.09407622400000004,-0.16891289,0
3,2,0.21537158,-0.10479156,0.061720025,0.0071789552,0.056210435,-0.14743537,0
3,3,0.21537158,-0.09961215,0.055218775,0.010768432,0.020995735000000015,-0.12937732,0
3,4,0.21537158,-0.09495486,0.049240652,0.0143579105,-0.011912171199999932,-0.114197604,0
