iter,avg_reward,avg_len,episodes,std,loss,score_uu,score_ud,score_du,score_dd
79,3241.5460,3000.00,25,0.4708,61.3581,-0.0900,nan,nan,nan
80,3098.4356,2904.82,22,0.4720,60.4568,-0.1140,nan,nan,nan
81,3111.0266,2985.21,19,0.4704,60.5420,-0.0822,nan,nan,nan
82,3090.6681,2931.88,25,0.4680,61.7253,-0.0835,nan,nan,nan
83,2924.4087,2707.25,24,0.4669,62.5399,-0.0703,nan,nan,nan
84,3130.2945,2843.82,22,0.4667,67.1925,-0.0422,nan,nan,nan
85,2870.1088,2701.28,29,0.4663,62.8505,-0.0624,nan,nan,nan
86,2628.6122,2330.29,24,0.4659,63.5163,-0.0450,nan,nan,nan
87,2783.3973,2600.62,26,0.4647,67.2285,-0.0315,nan,nan,nan
88,2916.9406,2572.27,26,0.4639,62.1465,-0.0554,nan,nan,nan
89,2717.9854,2503.42,24,0.4635,61.1666,-0.0468,nan,nan,nan
90,3086.2537,2785.09,22,0.4635,58.4662,-0.0444,nan,nan,nan
91,2942.6550,2636.86,28,0.4638,61.8509,-0.0415,nan,nan,nan
92,2588.1019,2397.11,28,0.4637,62.6093,-0.0379,nan,nan,nan
93,2795.5224,2452.04,24,0.4635,55.9805,-0.0600,nan,nan,nan
94,2630.4402,2417.26,27,0.4629,62.4133,-0.0337,nan,nan,nan
95,2777.1671,2529.37,30,0.4611,56.0233,-0.0624,nan,nan,nan
96,3153.1568,2763.74,19,0.4590,59.1982,-0.0447,nan,nan,nan
97,3122.5249,2814.00,25,0.4590,56.6989,-0.0461,nan,nan,nan
98,2806.3073,2521.34,29,0.4595,51.7949,-0.0685,nan,nan,nan
