iter,avg_reward,avg_len,episodes,std,loss
128,2083.7960,2576.55,22,0.4130,25.8835
129,2319.1639,2718.25,24,0.4125,26.2194
130,1942.9280,2319.45,33,0.4106,26.2028
131,1909.9345,2427.45,22,0.4111,23.2672
132,2067.0372,2653.00,23,0.4129,26.3457
133,2102.1371,2603.79,29,0.4129,23.0099
134,2029.5704,2492.77,26,0.4120,25.6602
135,2363.7931,2890.63,19,0.4110,22.7259
136,2289.4028,2745.31,29,0.4098,25.2682
137,1906.4544,2396.52,29,0.4084,24.5941
138,2354.4261,2928.59,17,0.4079,22.1672
139,2321.7909,2901.92,25,0.4077,24.3936
140,1888.6928,2259.94,34,0.4074,29.4003
141,2177.9200,2444.30,23,0.4080,25.4494
142,2134.0017,2591.74,23,0.4072,25.4970
143,2262.5618,2752.45,29,0.4067,24.5327
144,2203.7385,2705.26,19,0.4045,21.4855
145,2281.1589,2717.38,24,0.4029,24.6673
146,2443.8931,2890.14,29,0.4025,25.4216
147,2242.1785,2712.37,19,0.4022,22.9019
148,2456.2409,2753.29,24,0.4019,24.5116
149,2130.3777,2669.53,30,0.4009,29.0440
150,2005.8578,2332.50,20,0.3996,23.9040
151,2471.5653,2922.95,20,0.3974,22.5295
152,2378.5550,2856.03,31,0.3966,23.4686
153,2187.1839,2693.05,19,0.3958,22.6097
154,2136.6111,2609.46,24,0.3916,23.3223
155,2353.9410,2893.46,28,0.3877,23.0143
156,2121.8725,2650.24,17,0.3871,23.3623
157,2233.2894,2723.00,29,0.3875,23.1309
158,2277.0037,2749.12,25,0.3864,23.8146
159,2373.4624,2788.74,19,0.3842,22.1394
160,2357.0230,2956.90,21,0.3827,22.3156
161,2546.3585,2910.20,25,0.3807,19.4751
162,2388.2341,2868.04,23,0.3777,22.8493
163,2331.8420,2664.65,23,0.3758,20.8789
164,2324.3740,2705.93,30,0.3737,24.9263
165,2194.5134,2658.71,17,0.3719,23.5766
166,2157.8472,2655.62,29,0.3706,24.4722
167,2303.9995,2739.66,29,0.3689,20.9884
168,2275.4428,2693.85,13,0.3680,19.7632
169,2129.8329,2564.23,35,0.3684,26.7200
170,2352.8633,2889.23,22,0.3678,20.9814
171,2376.1864,2749.07,14,0.3675,22.5373
172,2488.0827,2983.48,31,0.3665,21.1920
173,2062.3294,2475.79,29,0.3658,25.3153
174,2070.1595,2461.75,16,0.3660,23.5434
175,2348.7519,2816.77,26,0.3648,22.2962
176,2163.8555,2611.48,31,0.3642,24.1212
177,2035.8561,2431.78,23,0.3631,24.5739
178,2122.4508,2723.81,26,0.3633,22.5864
179,2247.5907,2724.48,25,0.3624,22.1188
180,2278.9568,2714.78,18,0.3609,21.2413
181,2319.3768,2800.64,25,0.3599,19.3252
182,2245.0959,2833.89,28,0.3590,23.0572
183,2025.1732,2476.15,20,0.3577,26.2538
184,2354.7196,2917.88,24,0.3577,19.0937
185,2218.4660,2696.04,28,0.3578,24.1927
186,2248.3520,2874.40,20,0.3573,22.8925
187,1989.4721,2522.04,25,0.3565,21.5081
188,2341.8382,2727.16,25,0.3544,21.9188
189,2198.3800,2562.00,30,0.3526,24.0347
190,2332.9528,2752.90,20,0.3537,22.4834
191,2441.1560,2919.95,19,0.3547,19.1355
192,2418.2704,2967.81,26,0.3539,22.1140
193,2234.5534,2753.33,24,0.3528,25.6005
194,2464.8473,2878.22,18,0.3528,22.1811
195,2601.1323,3000.00,25,0.3530,20.8431
196,2460.3599,3000.00,23,0.3531,21.5649
197,2305.7794,2670.32,22,0.3521,23.4067
